Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,32.125237,32.457306,32.125237,32.333965,24.998024,22706744
2015-05-04,32.362431,32.741936,32.305504,32.561668,25.174067,24864282
2015-05-05,32.609108,32.666035,32.267551,32.371918,25.027367,23590839
2015-05-06,32.020874,32.163189,31.508539,31.745731,24.746326,28309913
2015-05-07,31.726755,32.020874,31.622391,31.859583,24.835077,22669959
2015-05-08,32.077801,32.400379,32.068310,32.277039,25.160486,21514037
2015-05-11,32.343452,32.504745,32.201138,32.220116,25.116119,27898853
2015-05-12,32.077801,32.220116,31.992411,32.049335,24.982986,18855955
2015-05-13,32.039848,32.068310,31.764706,31.812143,24.798096,25045675
2015-05-14,31.982922,32.248577,31.935484,32.201138,25.101326,18860803
2015-05-15,32.258064,32.314991,32.182163,32.248577,25.138304,17798687
2015-05-18,32.239090,32.314991,32.163189,32.239090,25.130905,25948637
2015-05-19,32.134724,32.628082,32.106262,32.457306,25.301012,21980854
2015-05-20,32.542694,32.722961,32.514233,32.542694,25.367571,16144013
2015-05-21,32.476280,32.722961,32.457306,32.599621,25.411947,19090259
2015-05-22,32.561668,32.722961,32.476280,32.523720,25.352779,13674069
2015-05-26,32.428844,32.580647,32.286530,32.362431,25.227055,19882234
2015-05-27,32.457306,32.703983,32.324478,32.542694,25.367571,23231636
2015-05-28,32.694496,32.760910,32.514233,32.675522,25.471115,16671329
2015-05-29,32.713470,33.197342,32.647060,32.969639,25.700384,52787798
2015-06-01,32.988613,33.130932,32.760910,32.789375,25.559860,29039386
2015-06-02,32.865276,32.884251,32.590134,32.722961,25.508095,19674175
2015-06-03,32.779884,32.884251,32.523720,32.647060,25.448925,18130065
2015-06-04,32.447819,32.789375,32.362431,32.485767,25.323195,21774691
2015-06-05,32.438332,32.523720,32.191650,32.343452,25.212259,24313461
2015-06-08,32.229603,32.409866,32.182163,32.239090,25.130905,18624496
2015-06-09,32.305504,32.381405,32.153702,32.267551,25.153091,24464499
2015-06-10,32.333965,32.666035,32.305504,32.552181,25.374968,24952396
2015-06-11,32.561668,32.798862,32.504745,32.694496,25.485905,21243897
2015-06-12,32.542694,32.694496,32.352940,32.457306,25.301012,22856517
2015-06-15,32.314991,32.371918,32.125237,32.296017,25.175282,22064014
2015-06-16,32.314991,32.352940,32.077801,32.296017,25.175282,21785021
2015-06-17,32.305504,32.428844,32.115749,32.239090,25.130905,22127149
2015-06-18,32.333965,32.741936,32.305504,32.609108,25.419344,25834383
2015-06-19,32.476280,32.741936,32.428844,32.428844,25.278820,30438466
2015-06-22,32.580647,32.732449,32.523720,32.552181,25.374968,14799214
2015-06-23,32.647060,32.817837,32.580647,32.732449,25.515490,19448830
2015-06-24,32.580647,32.751423,32.476280,32.476280,25.315800,24326742
2015-06-25,32.457306,32.580647,32.182163,32.277039,25.160486,24268666
2015-06-26,32.419353,32.533207,32.134724,32.182163,25.086531,37596496
2015-06-29,32.001900,32.371918,31.812143,31.869070,24.842470,30396833
2015-06-30,32.058823,32.058823,31.622391,31.812143,24.798096,36909710
2015-07-01,31.840607,32.125237,31.698292,31.963947,24.916430,29742299
2015-07-02,32.011387,32.675522,31.641365,31.660341,24.679762,23849069
2015-07-06,31.593927,31.916510,31.385199,31.546490,24.591011,22125990
2015-07-07,31.631880,32.106262,31.451612,32.001900,24.946016,27248851
2015-07-08,31.831120,32.001900,31.679317,31.736242,24.738934,21301235
2015-07-09,32.115749,32.239090,32.001900,32.125237,25.042154,23306048
2015-07-10,32.485767,32.675522,32.400379,32.599621,25.411947,22288306
2015-07-13,32.751423,33.064514,32.722961,33.036053,25.752153,19210415
2015-07-14,32.979126,33.349148,32.931690,33.282730,25.944445,19495311
2015-07-15,33.225807,33.320683,33.121441,33.187855,25.870491,20517375
2015-07-16,33.339657,33.396584,33.235294,33.301708,25.959234,16138637
2015-07-17,33.216320,33.282730,33.130932,33.273247,25.937054,17681482
2015-07-20,33.330170,33.557877,33.282730,33.434536,26.062773,15569899
2015-07-21,33.434536,33.529411,33.092979,33.339657,25.988815,18612164
2015-07-22,33.263756,33.396584,32.988613,33.092979,25.796532,18576645
2015-07-23,33.197342,33.206833,32.855785,32.998100,25.722565,13404877
2015-07-24,32.855785,32.941177,32.400379,32.504745,25.337990,22585217
2015-07-27,32.419353,32.637569,32.144215,32.580647,25.397160,33015180
2015-07-28,33.149906,33.652752,32.637569,33.538898,26.144131,38651339
2015-07-29,33.662239,34.278938,33.624287,33.927895,26.447355,47792049
2015-07-30,33.851994,34.155598,33.576851,33.899429,26.425167,22663003
2015-07-31,34.070210,34.592030,34.032257,34.212524,26.669233,30570638
2015-08-03,34.430740,34.440228,34.060722,34.297913,26.735794,18019606
2015-08-04,34.364326,34.364326,33.984821,34.259960,26.706205,27122898
2015-08-05,34.222012,34.316887,33.946869,33.984821,26.698761,25557181
2015-08-06,34.117645,34.136623,33.235294,33.368122,26.214275,25792856
2015-08-07,33.368122,33.491463,33.083492,33.387096,26.229177,15445105
2015-08-10,33.406071,33.652752,33.330170,33.548386,26.355888,16462742
2015-08-11,33.406071,33.434536,33.149906,33.320683,26.177008,20273479
2015-08-12,33.083492,33.652752,32.931690,33.557877,26.363348,29087976
2015-08-13,33.567364,33.795067,33.130932,33.548386,26.355888,20595792
2015-08-14,33.557877,33.681213,33.244781,33.510437,26.326073,19042934
2015-08-17,33.311195,33.709679,33.206833,33.681213,26.460241,14630469
2015-08-18,33.576851,33.776093,33.472485,33.700191,26.475149,14064154
2015-08-19,33.557877,33.671726,33.168880,33.462997,26.288805,18798512
2015-08-20,33.130932,33.339657,32.779884,32.779884,25.752151,19778099
2015-08-21,32.485767,32.798862,31.821632,31.821632,24.999342,35297301
2015-08-24,30.332067,31.546490,27.011385,30.483871,23.948381,55081935
2015-08-25,31.499050,31.518026,29.715370,29.734344,23.359550,44583884
2015-08-26,30.436434,30.882353,29.743834,30.768501,24.171986,46002568
2015-08-27,31.100569,31.897533,30.996204,31.555977,24.790636,40677022
2015-08-28,31.593927,31.650854,30.834915,30.986717,24.343420,35300357
2015-08-31,31.034157,31.043644,30.322580,30.569260,24.015463,33764468
2015-09-01,29.848198,30.237192,29.592030,29.753321,23.374451,41249449
2015-09-02,30.294119,30.332067,29.772297,30.332067,23.829124,33120580
2015-09-03,30.616697,30.759012,30.132828,30.256166,23.769495,22753647
2015-09-04,29.838711,30.094877,29.535105,29.762808,23.381910,23781402
2015-09-08,30.199242,30.901327,30.199242,30.863379,24.246523,27375331
2015-09-09,31.309298,31.337761,30.237192,30.322580,23.821669,22553176
2015-09-10,30.351044,31.110058,30.303604,30.948767,24.313610,33002321
2015-09-11,30.901327,31.299810,30.692600,31.280834,24.574482,23587993
2015-09-14,31.252373,31.347248,30.910816,31.034157,24.380688,16427012
2015-09-15,31.261860,31.641365,31.129032,31.470589,24.723558,22053791
2015-09-16,31.290323,31.574953,31.034157,31.480076,24.731010,22566140
2015-09-17,31.470589,32.220116,31.432638,31.764706,24.954617,26703090
2015-09-18,31.385199,31.717268,31.157495,31.166983,24.485039,38735343
2015-09-21,31.404175,31.622391,30.588236,30.759012,24.164536,24985175
2015-09-22,30.341557,30.673624,30.208729,30.607210,24.045277,25600290
2015-09-23,30.569260,31.129032,30.540796,30.948767,24.313610,27534696
2015-09-24,30.702087,31.195446,30.426945,31.024668,24.373238,32109161
2015-09-25,31.271347,31.404175,30.028463,30.256166,23.769495,36388296
2015-09-28,30.075901,30.170778,29.070210,29.240988,22.971962,44882377
2015-09-29,29.136621,29.829222,29.089184,29.430740,23.121033,32713209
2015-09-30,29.838711,29.952562,29.468691,29.800758,23.411726,33843202
2015-10-01,29.696396,30.237192,29.506641,30.208729,23.732227,31567932
2015-10-02,30.332067,31.413662,29.886148,31.385199,24.656473,43956754
2015-10-05,31.736242,32.153702,31.309298,31.764706,24.954617,33724311
2015-10-06,31.688805,31.878557,30.759012,31.110058,24.440319,38566176
2015-10-07,31.404175,31.764706,30.692600,31.584440,24.813002,30302605
2015-10-08,31.214420,31.537003,30.872866,31.394688,24.663931,31691883
2015-10-09,31.366224,31.859583,31.233397,31.537003,24.775732,21508451
2015-10-12,31.527514,31.726755,31.214420,31.518026,24.760820,15642414
2015-10-13,31.480076,31.916510,31.138519,31.290323,24.581936,20496189
2015-10-14,31.347248,31.850096,31.252373,31.347248,24.626656,18686366
2015-10-15,31.242884,32.390892,31.242884,32.333965,25.401834,27807787
2015-10-16,32.590134,32.675522,32.258064,32.647060,25.647800,20238908
2015-10-19,32.647060,32.770397,32.343452,32.732449,25.714884,16632963
2015-10-20,32.874763,32.912712,32.030361,32.258064,25.342207,18436146
2015-10-21,32.419353,32.580647,31.337761,31.745731,24.939711,34867585
2015-10-22,31.859583,31.916510,31.204933,31.622391,24.842810,43599764
2015-10-23,31.745731,32.590134,31.527514,32.305504,25.379475,29021468
2015-10-26,32.258064,32.609108,32.096775,32.409866,25.461460,24548819
2015-10-27,33.216320,33.633778,32.874763,33.197342,26.080105,42242001
2015-10-28,33.425049,34.222012,33.225807,33.633778,26.422972,36745497
2015-10-29,32.495255,34.060722,32.409866,32.988613,25.916128,75916247
2015-10-30,32.988613,33.111954,32.001900,32.087288,25.208042,60213861
2015-11-02,32.419353,33.444023,32.400379,33.263756,26.132280,41633632
2015-11-03,33.197342,33.244781,32.874763,33.178368,26.065199,31138111
2015-11-04,33.130932,33.178368,32.343452,32.390892,25.651943,32544358
2015-11-05,32.476280,32.533207,32.248577,32.400379,25.659458,21599306
2015-11-06,32.182163,32.305504,31.631880,32.191650,25.494154,32936868
